usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,phi_1,phi_2,phi_3,phi_4
80,14,10,2275,312,228,3.21,1.2,565950,400919,3.4,3791,1044133,0.553468064,0.532432253,0.634939833,0.890722806
94,4,2,1817,240,71,0.2,0.2,21627,10457,2,2560,1044353,0.55358468,0.532499005,0.634966864,0.890773768
79,12,8,775,71,37,3.8,4.2,125517,40041,1.4,2613,1045133,0.553998138,0.532735548,0.635062691,0.89095426
91,2,0,2590,167,248,0.8,0.4,117072,179675,2.4,539,1045416,0.554148149,0.532821322,0.635097457,0.891019673
86,4,0,2139,192,76,2.8,4,254183,69772,1.8,218,1045754,0.554327315,0.532923733,0.635138977,0.891097747
86,50,62,2562,239,181,1,3,171071,86083,4,2551,1045976,0.554444991,0.532990977,0.635166247,0.891148995
82,44,56,3665,275,231,1.6,0.8,227554,39676,1.2,2016,1046022,0.554469374,0.533004908,0.635171897,0.891159611
94,2,0,1368,136,75,0.2,0.2,51529,59177,1.2,698,1046589,0.554769927,0.533176574,0.635241541,0.891290381
78,14,5,5744,583,274,3.39,2.59,389123,235864,5.4,1434,1046742,0.554851028,0.533222878,0.635260332,0.891325642
97,1,1,960,51,40,0.2,0.2,108053,44913,1.4,6930,1047098,0.555039734,0.533330591,0.635304056,0.891407641
78,12,5,5935,356,199,1.4,0.8,173332,74812,5.2,315,1047328,0.555161651,0.53340016,0.635332302,0.891460585
0,9,6,1538,145,100,0.2,0.2,240721,48736,355,93,1048598,0.555834846,0.533783994,0.635488257,0.891752463
88,28,40,2957,261,164,0.2,0.2,201445,80840,4.4,167,1050074,0.556617235,0.534229444,0.635669473,0.8920907
97,0,0,1006,44,41,0.6,0.8,3325,8798,1,1377,1050558,0.556873791,0.534375362,0.635728888,0.892201382
91,4,0,2148,108,77,2.6,8,130916,26669,2.4,267,1050710,0.556954363,0.534421172,0.635747546,0.892236118
89,9,1,3357,149,145,1,1.2,122904,40944,5.2,3092,1050733,0.556966554,0.534428103,0.635750369,0.892241374
96,1,0,1132,32,30,0.2,0.2,5381,22916,3.2,172,1051819,0.557542215,0.534755183,0.635883666,0.892489217
91,0,0,765,81,62,0.2,0.2,34390,36627,1.2,1723,1051835,0.557550696,0.534759999,0.635885629,0.892492864
96,24,31,489,61,133,0.2,0.2,38044,33334,2.2,1099,1051986,0.557630738,0.534805447,0.635904162,0.892527279
86,5,0,5291,298,214,0.8,1,250499,60387,1,654,1052146,0.557715549,0.534853595,0.635923798,0.892563732
90,10,9,1548,137,95,0.6,0.6,30463,36164,2,676,1052185,0.557736222,0.53486533,0.635928584,0.892572616
96,27,38,1292,67,46,0.2,0.2,2864,18973,1.2,1153,1053153,0.558249334,0.535156444,0.636047373,0.892792879
86,14,2,3735,239,226,3,1.4,159807,115748,3.8,3534,1053309,0.558332026,0.535203331,0.636066515,0.892828333
98,0,0,615,40,24,0.2,0.2,17074,9089,2,4592,1053506,0.55843645,0.53526253,0.636090688,0.892873089
88,0,0,770,204,56,0.2,0.2,1299349,304151,3.2,3516,1053560,0.558465074,0.535278755,0.636097314,0.892885354
91,10,6,2698,154,95,0.6,2,41837,23966,2.8,313,1053592,0.558482037,0.53528837,0.63610124,0.892892622
93,8,2,1116,81,91,1.2,1.4,59686,95337,2.2,1714,1053766,0.55857427,0.535340642,0.63612259,0.892932129
86,3,1,572,120,31,2.8,2.8,90781,61249,1.2,5759,1054046,0.558722691,0.535424739,0.636156944,0.892995675
90,54,62,1101,104,81,1.8,1.6,241932,82941,2.8,262,1054056,0.558727991,0.535427742,0.636158171,0.892997944
0,81,111,1175,112,75,0.2,0.2,18837,37417,240,89,1054915,0.559183325,0.535685581,0.636263556,0.893192653
82,8,2,4089,280,160,2.79,2.79,227209,17217,3.4,1356,1055160,0.559313193,0.535759078,0.636293612,0.893248121
83,10,0,4261,527,266,1.8,3,330811,87989,6.2,2497,1055216,0.559342877,0.535775875,0.636300481,0.893260796
97,0,0,368,41,34,0.2,0.2,1460,13058,3,323,1055501,0.559493949,0.535861342,0.636335442,0.893325277
90,3,1,714,34,15,2.61,2.81,70079,17335,1,11420,1055504,0.559495539,0.535862242,0.63633581,0.893325956
95,36,47,387,40,42,0.8,0.6,2166,11034,3,1551,1055989,0.559752625,0.536007627,0.636395301,0.893435597
85,3,0,2881,164,361,2.2,4.2,32995,180178,1.6,1258,1056115,0.559819414,0.536045385,0.636410755,0.893464062
57,9,1,8351,1486,1359,8.18,6.79,1327527,1052853,1.2,509,1056597,0.56007491,0.536189779,0.636469873,0.893572885
91,10,7,1696,133,109,1.8,2.59,104247,20545,2.4,207,1057451,0.560527594,0.536445433,0.636574606,0.893765421
99,0,0,470,18,32,0.2,0.2,5392,7117,1,6938,1057613,0.560613466,0.536493904,0.636594472,0.893801905
93,16,14,1384,95,123,0.2,0.2,16407,93892,1,662,1057786,0.560705168,0.536545656,0.636615687,0.893840852
85,22,13,2865,177,161,1.6,5,119291,193151,4,536,1057803,0.56071418,0.536550741,0.636617772,0.893844679
76,43,48,5537,438,394,2.4,2,304814,237643,4,2487,1058078,0.56085995,0.536632986,0.636651493,0.893906558
86,8,7,4561,204,127,0.2,0.2,68904,64251,2.5,574,1058397,0.561029044,0.53672836,0.636690608,0.893978292
92,36,54,1470,182,142,0.2,0.2,16784,40472,1.5,648,1058554,0.561112265,0.536775288,0.636709858,0.89401358
84,16,3,5681,371,174,2.59,2.4,106232,22285,2,774,1058706,0.561192837,0.536820714,0.636728495,0.894047732
83,6,1,4010,486,243,1.6,0.8,433441,19761,5.6,2238,1058857,0.561272878,0.536865834,0.636747009,0.894081649
87,5,0,1184,110,41,4.8,4.8,134210,80919,3.6,1366,1059104,0.561403806,0.536939624,0.636777292,0.894137105
96,1,0,1253,47,47,0.4,0.4,29848,18075,3.2,159,1059384,0.561552227,0.537023249,0.63681162,0.894199935
98,0,0,303,116,30,0.2,0.2,22296,10299,1,5245,1059456,0.561590393,0.537044749,0.636820447,0.894216085
87,7,2,2536,229,184,4.2,1.2,125918,20744,1.4,8331,1059738,0.561739873,0.53712894,0.636855018,0.894279317
84,17,6,3577,316,238,3,1.2,217323,49595,3.6,879,1059890,0.561820445,0.53717431,0.636873651,0.894313384
90,47,36,1401,140,112,1.79,3.17,113759,41443,2,269,1060130,0.561947663,0.537245931,0.636903072,0.894367151
92,37,52,2114,213,122,0.4,0.4,51742,61601,3,157,1060421,0.562101914,0.537332747,0.636938743,0.894432307
92,23,7,1277,149,121,1.2,1.8,22772,19460,2.8,670,1060449,0.562116756,0.537341099,0.636942175,0.894438574
88,3,0,917,74,268,0.6,1.2,80639,66461,1.8,1718,1060850,0.562329316,0.537460685,0.636991328,0.894528288
92,3,0,598,32,29,4.4,3,69002,14794,1.2,7715,1061008,0.562413068,0.53750779,0.637010694,0.894563616
78,14,4,1954,130,114,6.19,17.76,80423,44906,3,148,1061306,0.56257103,0.537596613,0.637047218,0.894630214
91,15,2,2374,132,121,0.4,0.8,30493,41061,3,150,1061328,0.562582692,0.537603169,0.637049914,0.894635129
78,6,1,4009,260,187,2.2,3.4,57483,172118,1.2,255,1061699,0.562779349,0.537713708,0.637095384,0.89471798
89,6,1,1390,78,95,0.2,0.2,30162,17666,1.5,132,1061819,0.562842958,0.537749453,0.63711009,0.894744764
70,17,8,4051,662,579,6.4,4,565623,421622,1.2,756,1062579,0.563245815,0.537975731,0.637203226,0.894914238
88,20,7,1878,151,75,2.4,2.4,245550,72088,3.2,171,1062686,0.563302532,0.538007574,0.637216338,0.894938076
84,11,6,3739,243,172,0.6,0.8,112671,124393,2.5,1092,1063034,0.563486998,0.538111114,0.63725898,0.895015569
70,7,1,2492,255,123,1.8,1.6,1433061,37231,2.5,102,1063202,0.563576051,0.538161085,0.637279565,0.895052959
93,0,0,1939,108,92,0.2,0.2,11959,114457,3.2,545,1063254,0.563603615,0.53817655,0.637285936,0.895064529
80,8,6,3296,326,204,1,1.8,296167,47802,2,374,1064146,0.564076441,0.53844171,0.637395224,0.895262806
85,55,84,5106,321,215,0.2,0.2,29564,40148,2.5,1119,1064517,0.564273099,0.538551922,0.637440675,0.895345163
90,30,43,2588,202,132,0.4,0.4,76060,35619,1,1484,1064699,0.564369572,0.538605972,0.637462971,0.895385541
97,3,2,501,94,102,0.2,0.2,56336,70980,2.6,159,1064798,0.564422049,0.538635369,0.637475099,0.895407498
97,23,34,1857,103,88,0.2,0.2,3525,44989,2.4,3387,1064864,0.564457034,0.538654965,0.637483184,0.895422133
92,6,2,1456,106,64,0.6,2.2,110222,27276,1,356,1064942,0.56449838,0.538678123,0.637492738,0.895439427
83,49,63,3638,189,170,0.6,1.99,20954,238296,3.2,1215,1065218,0.564644681,0.538760049,0.637526547,0.895500598
93,0,0,1313,96,42,0.4,2.2,370096,44139,1.4,6675,1065258,0.564665884,0.53877192,0.637531447,0.895509461
92,22,33,1157,59,50,0.2,0.2,87024,13503,1.6,953,1065362,0.564721011,0.538802783,0.637544186,0.895532499
95,0,0,1190,71,77,0.2,0.2,3692,88505,3.2,267,1065418,0.564750695,0.5388194,0.637551045,0.895544903
98,1,1,163,12,12,0.2,0.2,27322,15675,2,3598,1065440,0.564762357,0.538825928,0.63755374,0.895549775
93,2,1,2834,164,134,0.2,0.2,120572,50152,3.4,3404,1066987,0.565582382,0.539284582,0.637743209,0.89589182
78,74,100,4606,831,206,2.79,3.99,1379703,54436,1,425,1067526,0.565868092,0.53944421,0.637809213,0.896010731
98,2,1,444,42,38,0.2,0.2,9668,7034,1,5543,1067602,0.565908378,0.53946671,0.63781852,0.896027487
93,14,21,616,65,60,0.4,1.2,4531,36791,3.4,992,1067931,0.566082772,0.539564093,0.637858805,0.89609999
77,6,1,2650,190,129,0.6,0.6,121239,67627,4.6,276,1068366,0.566313354,0.539692799,0.637912066,0.896195776
92,5,1,1139,116,125,3,1.8,93344,31653,1,7534,1068462,0.566364242,0.539721195,0.63792382,0.896216903
90,12,11,1150,120,81,1,2.4,74466,22798,2,895,1068542,0.566406648,0.539744857,0.637933615,0.896234505
94,4,2,2764,146,145,0.2,0.2,5556,30468,1.6,553,1068770,0.566527504,0.53981228,0.637961529,0.896284656
93,6,2,2361,121,78,0.4,0.4,196740,83650,3,2043,1069200,0.566755436,0.539939396,0.638014172,0.896379173
86,22,4,1650,223,205,1.8,1.6,33024,29856,4.5,158,1069212,0.566761797,0.539942942,0.638015642,0.89638181
78,19,13,2317,340,164,5.6,17.2,946400,24496,3,705,1069491,0.566909688,0.540025387,0.638049796,0.896443088
98,1,1,233,17,36,0.2,0.2,7626,33913,1,9203,1069851,0.567100515,0.540131733,0.638093865,0.896522104
92,9,6,1408,147,111,0.8,0.8,94565,20446,1.4,1994,1070168,0.567268548,0.540225342,0.638132668,0.896591631
84,24,19,1059,67,56,3.79,4.19,72920,34992,3.2,635,1070280,0.567327917,0.540258408,0.638146378,0.896616185
81,9,4,4370,122,115,2.8,8,153788,121639,2.6,551,1070658,0.567528285,0.540369977,0.638192644,0.896699011
98,1,1,353,154,41,0.2,0.2,263443,245749,2.2,5757,1071472,0.567959765,0.540610083,0.638292268,0.896877146
90,2,1,2080,124,97,0.8,5.39,40902,39442,1,172,1072035,0.568258197,0.540776032,0.638361166,0.897000173
88,29,38,397,45,14,2.2,2.2,82212,8322,1.4,11431,1072078,0.56828099,0.540788702,0.638366428,0.897009563
98,0,0,162,10,23,0.2,0.2,2817,12502,1,7385,1072233,0.568363152,0.54083437,0.638385395,0.897043405
86,2,0,3953,356,135,0.2,0.4,311951,205296,2.4,762,1072318,0.568408208,0.540859411,0.638395796,0.897061959
94,3,1,2494,115,124,0.2,0.4,7864,20509,2,1095,1072592,0.568553448,0.540940115,0.638429324,0.897121744
98,1,1,188,10,26,0.2,0.2,3035,26836,1,9288,1072618,0.56856723,0.540947772,0.638432505,0.897127415
78,49,48,4918,402,238,2.39,3.98,202001,157198,3,169,1072750,0.5686372,0.540986642,0.638448657,0.897156203
91,41,56,1349,84,55,1.19,4.97,110507,21563,1,181,1072970,0.568753817,0.541051413,0.638475575,0.897204165
91,18,16,4364,331,233,0.4,2,149096,201763,3.4,3910,1073063,0.568803113,0.541078789,0.638486954,0.897224433
86,84,95,617,100,95,0.2,0.2,22235,94110,2,136,1073299,0.568928211,0.541148248,0.638515829,0.897275848
77,6,1,5226,473,353,4.2,1.2,148787,53090,5,233,1073621,0.569098895,0.541242989,0.638555224,0.897345957
93,4,1,2439,183,114,0.6,0.6,171077,108093,2.4,2113,1074008,0.569304034,0.541356814,0.638602569,0.897430156
87,38,28,3514,87,70,2,2.8,33738,46921,2.2,3372,1074263,0.569439203,0.541431789,0.638633764,0.897485598
97,35,34,331,58,48,0.2,0.2,22293,29719,1.2,1812,1074696,0.569668725,0.541559054,0.638686732,0.897579672
96,21,27,227,25,26,0.2,0.2,7626,4544,1,7373,1074698,0.569669785,0.541559641,0.638686976,0.897580106
89,2,0,2612,226,119,0.4,1.2,166206,51370,4.8,7187,1074878,0.569765198,0.541612529,0.638708994,0.897619187
82,19,14,3750,288,141,1.8,3.6,236686,96856,1.5,557,1074963,0.569810255,0.5416375,0.638719391,0.897637637
87,56,86,1426,119,70,0.4,0.4,444790,147764,3.4,1246,1075939,0.570327607,0.541924067,0.638838765,0.897849248
88,24,21,1833,114,94,0.6,0.4,180856,37117,3.2,6754,1076918,0.57084655,0.542211221,0.638958489,0.898061069
92,7,2,1474,146,112,0.6,2.8,90868,28777,1.7,1005,1077120,0.570953625,0.542270433,0.63898319,0.89810472
64,42,9,6663,186,86,7.6,21.8,284749,160378,5.6,198,1077505,0.571157703,0.542383254,0.639030266,0.898187864
79,7,1,4102,396,179,2.2,6.19,1173991,69739,3.2,141,1077565,0.571189508,0.542400832,0.639037603,0.898200816
89,2,1,1803,238,58,0.8,2,544311,22882,2.6,6500,1077584,0.571199579,0.542406398,0.639039926,0.898204917
95,36,57,453,42,34,0.6,0.6,27437,19314,2.8,1019,1077714,0.571268489,0.54244448,0.639055821,0.898232971
0,121,92,2108,256,194,6.8,20.8,377607,105842,184,76,1078104,0.571475218,0.542558694,0.639103504,0.898317089
94,6,2,2029,93,83,0.6,0.6,93053,46509,5,363,1078506,0.571688308,0.542676374,0.639152652,0.898403722
77,78,78,3726,204,189,6.4,5,163664,109771,1,158,1079026,0.571963946,0.542828522,0.639216222,0.898515676
80,27,18,3714,220,99,2.8,7,460247,29730,3.7,265,1079114,0.572010593,0.542854262,0.639226979,0.89853461
76,33,3,3388,493,263,3.8,5.2,402655,354612,2,132,1079669,0.572304784,0.543016545,0.639294822,0.89865394
83,3,1,3167,348,163,1.4,1.4,91118,37133,2,157,1080061,0.572512573,0.543131109,0.639342736,0.898738139
93,0,0,195,42,23,0,0,10043,15587,1.4,1387,1080566,0.572780261,0.543278629,0.639404458,0.898846507
91,4,0,2176,371,139,0.6,0.8,655593,48384,1.8,571,1081171,0.573100956,0.543455258,0.639478396,0.898976181
92,6,0,2623,112,112,2.2,0.8,105701,61083,2.4,169,1081690,0.573376064,0.54360669,0.639541819,0.89908729
0,7,2,1251,129,91,0.6,0.8,100872,17439,134,93,1081958,0.573518124,0.543684853,0.639574567,0.899144616
94,3,1,1395,113,60,0.8,1.4,92509,18384,3,812,1082086,0.573585974,0.543722177,0.639590207,0.899171985
83,7,2,3244,182,137,1,5.8,130854,23562,5.6,217,1082503,0.573807015,0.543843738,0.639641159,0.899261093
88,127,51,1934,207,198,0.6,0.8,125735,166302,1,1015,1082528,0.573820267,0.543851024,0.639644214,0.899266433
94,1,0,1295,124,122,0.2,0.2,2544,19444,2.7,635,1084180,0.574695949,0.544332065,0.639846033,0.899618658
88,21,10,3862,239,266,2.4,2.4,111286,94229,7.2,343,1084374,0.574798784,0.544388501,0.63986973,0.89965994
77,8,0,3193,442,385,8.02,2,278616,17581,2,7216,1084762,0.575004453,0.544501338,0.639917123,0.899742453
83,3,0,3473,132,137,0.6,0.6,9715,26776,5.2,370,1085112,0.575189979,0.544603084,0.639959871,0.899816827
82,4,1,720,104,58,3,10,428343,242223,3.8,3709,1085282,0.575280091,0.54465249,0.639980634,0.899852931
98,0,0,156,9,17,0.2,0.2,2056,2898,1,6472,1085482,0.575386106,0.544710604,0.64000506,0.89989539
89,4,2,1819,118,223,0.2,0.2,111430,579085,1.8,1520,1085546,0.575420031,0.544729197,0.640012876,0.899908974
81,10,1,3579,745,751,3,3,619936,638238,2.2,636,1085594,0.575445474,0.544743142,0.640018738,0.89991916
96,2,0,1962,118,103,1,1,42992,11098,3.2,1212,1086210,0.575772,0.544922034,0.640093964,0.90004979
89,6,2,1046,98,40,3,12.4,66120,22817,1,198,1086548,0.575951165,0.545020144,0.640135238,0.900121395
82,89,104,2799,177,127,1.8,1.6,251073,47060,2.8,3792,1086784,0.576076263,0.545088625,0.640164056,0.90017136
92,16,12,3007,178,134,0.6,0.6,39887,66967,2.4,361,1086970,0.576174857,0.545142586,0.640186767,0.900210722
97,0,0,750,76,69,0.2,0.2,49826,50394,1,572,1087352,0.576377345,0.545253376,0.640233408,0.900291514
93,4,0,1134,102,19,2.2,2.6,291175,13298,1.6,7226,1087683,0.5765528,0.545349339,0.64027382,0.900361467
0,14,7,1443,221,109,1.79,5.57,716801,563258,2390,84,1088307,0.576883566,0.545530157,0.64035,0.900493208
91,36,47,345,26,20,1.8,1.8,51659,26403,1.2,8807,1088853,0.577172987,0.545688276,0.640416651,0.900608338
93,5,2,1809,75,29,2.2,6.4,72824,7166,1.2,4894,1088888,0.577191539,0.545698409,0.640420924,0.900615714
97,3,1,411,53,16,1.2,4.6,294255,7831,2.2,3741,1089088,0.577297554,0.545756303,0.640445337,0.900657849
89,1,0,5527,192,147,0.2,0.2,265066,88570,1.5,126,1089316,0.577418411,0.545822287,0.640473167,0.900705862
97,0,0,194,25,24,0.2,0.2,616,9071,1,1363,1089499,0.577515415,0.545875237,0.640495503,0.900744382
89,16,15,1984,157,90,1.4,3.41,57962,43602,2.3,1121,1089926,0.577741756,0.545998747,0.640547619,0.900834204
97,1,1,394,208,51,0.2,0.2,379080,332905,2.6,5746,1090001,0.577781512,0.546020436,0.640556773,0.900849973
88,3,1,650,83,43,2.2,2.2,317214,129335,1.6,5350,1090602,0.578100087,0.546194168,0.640630119,0.900976239
90,7,1,3253,265,138,2,1.8,220922,120526,4.8,1562,1090707,0.578155744,0.546224509,0.640642933,0.900998282
83,19,16,3002,194,123,1.8,2.2,300654,71750,2.4,1202,1090760,0.578183838,0.546239823,0.640649401,0.901009407
90,12,1,3220,146,141,1.8,4.4,124696,61614,4.4,508,1091789,0.578729285,0.546536975,0.640774962,0.901225147
94,1,0,781,60,64,1,2,8478,16249,1.5,2160,1092362,0.579033017,0.546702306,0.640844873,0.901345078
97,17,25,226,27,31,0.2,0.2,94831,27476,1,7369,1093009,0.579375975,0.546888869,0.640923806,0.901480323
84,14,1,1923,403,314,1.8,4,522927,132931,3.4,514,1093237,0.579496832,0.546954583,0.640951619,0.901527939
70,14,8,3941,337,187,5.8,14.6,241200,167242,1,248,1093292,0.579525986,0.546970432,0.640958329,0.901539422
66,56,64,3893,332,238,1.4,1.6,536029,449132,3,150,1093338,0.57955037,0.546983688,0.64096394,0.901549024
96,17,26,247,23,35,0.2,0.2,89718,18693,1.2,7199,1093443,0.579606028,0.547013942,0.640976748,0.90157094
85,7,1,1030,100,37,4,4,112364,17402,2.2,8514,1093539,0.579656915,0.5470416,0.640988459,0.901590973
89,42,53,2608,235,148,1.4,0.6,108359,42599,1,615,1093544,0.579659565,0.547043041,0.640989069,0.901592016
96,1,0,993,51,39,0.6,0.6,7421,6898,3,162,1093546,0.579660625,0.547043617,0.640989312,0.901592434
98,5,4,675,46,36,0.2,0.2,4594,17850,4,614,1093691,0.579737486,0.547085387,0.641007,0.901622684
83,47,63,2769,338,192,1.59,0.99,850333,491906,4.2,3581,1093755,0.579771411,0.547103821,0.641014806,0.901636032
97,1,0,600,37,40,0.2,0.2,4767,19880,1.5,289,1093842,0.579817527,0.547128879,0.641025418,0.901654176
81,5,1,5492,267,175,1,1.39,249419,36634,1,548,1093905,0.579850922,0.547147022,0.641033103,0.901667312
85,80,101,1408,227,147,1,2.4,16443,20863,3,144,1094373,0.580098997,0.547281765,0.641090185,0.901764838
92,18,27,2223,139,73,0.6,0.6,90472,59143,2.4,4710,1094643,0.580242117,0.547359471,0.641123115,0.90182106
91,1,0,2678,165,134,0.2,0.2,7384,66002,2,1834,1095611,0.580755229,0.547637881,0.641241166,0.90202236
84,7,0,1512,276,116,4.2,2.6,1313197,44146,6,338,1095928,0.580923262,0.547728993,0.641279821,0.902088192
58,164,18,4432,573,222,5.99,8.58,386448,38136,2.2,132,1096205,0.581070093,0.547808583,0.641313597,0.902145681
74,10,1,5406,252,156,5,18.4,145463,50994,1,183,1096235,0.581085995,0.547817202,0.641317255,0.902151905
88,29,37,1786,175,175,1.8,1,64650,70255,2,629,1096404,0.581175578,0.547865748,0.641337862,0.90218696
0,17,14,1128,429,142,0.4,0.4,818219,590202,480,93,1097291,0.581645753,0.548120402,0.641446006,0.902370744
84,44,59,5763,262,205,0.4,0.4,152480,57054,1.5,142,1097418,0.581713073,0.548156843,0.641461489,0.90239703
83,12,3,2805,544,146,1.2,2.2,279920,329100,3,286,1098512,0.582292974,0.548470558,0.641594849,0.902623168
93,3,0,1234,205,115,0.4,2.2,123824,135757,2.4,263,1098558,0.582317358,0.548483741,0.641600456,0.902632665
92,7,2,1150,111,119,0.8,0.8,52028,122409,1,407,1098930,0.582514545,0.548590329,0.641645798,0.902709433
91,4,3,1370,94,118,0.8,1,25625,99074,1,418,1098964,0.582532568,0.548600069,0.641649942,0.902716446
82,16,0,3074,259,203,1.6,4.6,537108,100961,6.6,671,1099102,0.582605718,0.548639597,0.641666761,0.902744907
96,28,36,1326,75,50,0.4,2,84961,36739,2,4667,1099542,0.582838951,0.548765592,0.641720387,0.902835597
94,3,2,712,73,58,0.2,0.2,18641,64419,1.5,613,1099771,0.582960338,0.548831144,0.641748295,0.902882764
75,37,41,2235,172,114,6.2,20,95632,32410,2.3,159,1100525,0.583360014,0.549046866,0.641840178,0.903037901
92,17,4,1910,131,91,1.8,2,113894,28026,1.4,7696,1100679,0.583441645,0.549090906,0.641858944,0.903069556
70,6,2,2948,224,203,3.19,3.59,428831,387601,2,115,1101199,0.583717284,0.549239557,0.641922304,0.903176368
99,0,0,266,19,43,0.2,0.2,4582,15903,1.2,7293,1101664,0.583963768,0.549372417,0.641978958,0.903271783
94,1,0,2263,91,84,0.2,0.2,100381,33249,1.2,161,1101704,0.583984971,0.549383842,0.641983832,0.903279986
92,0,0,3657,230,131,0.4,0.6,350733,241407,5.4,1594,1101961,0.5841212,0.549457242,0.642015142,0.903332676
80,12,8,1444,134,84,0.6,2.4,510385,191128,4,529,1102581,0.584449846,0.549634232,0.642090672,0.90345967
85,7,1,1071,50,60,6.2,9.6,27162,193369,1.8,6829,1102635,0.584478471,0.549649642,0.64209725,0.903470723
95,4,1,824,136,58,0.2,0.2,27980,39647,2,5856,1103187,0.584771072,0.549807116,0.642164489,0.903583635
84,5,1,3741,852,265,0.4,0.4,377071,88331,1,121,1103325,0.584844222,0.54984647,0.642181298,0.903611842
96,1,0,382,57,51,0.2,0.2,8498,20401,3.6,1498,1103502,0.584938045,0.549896937,0.642202857,0.903648009
92,2,0,2727,167,149,0.8,1,748996,23904,2.8,257,1103902,0.585150075,0.550010954,0.642251576,0.903729692
98,1,1,235,19,25,0.2,0.2,7848,12733,1,7478,1103984,0.585193541,0.550034322,0.642261562,0.903746428
95,3,1,663,81,96,1.8,0.6,62398,53313,1,7348,1106624,0.586592937,0.550785571,0.642583026,0.90428371
89,1,0,2054,344,308,0.6,3.6,10011,57033,2.6,231,1106848,0.586711674,0.550849218,0.642610296,0.904329159
81,1,0,4123,257,213,0.2,1,607636,329374,5.2,311,1107003,0.586793835,0.550893251,0.642629165,0.904360596
91,3,2,743,111,64,0.6,1.2,529504,300696,2.6,3672,1107088,0.586838891,0.550917395,0.642639512,0.904377831
89,0,0,2273,73,68,0.2,0.2,2262,8296,2,4115,1107094,0.586842072,0.550919099,0.642640243,0.904379047
84,18,0,3762,154,114,4.79,2.99,23933,35077,1.8,224,1107248,0.586923703,0.550962836,0.642658989,0.904410265
93,8,5,1028,134,141,1,0.6,39910,46082,5,548,1107251,0.586925293,0.550963688,0.642659355,0.904410873
97,1,1,1597,100,92,0.6,0.6,6122,38458,1,362,1107486,0.587049861,0.551030416,0.642687961,0.90445849
95,1,1,2078,94,97,0.4,0.4,30254,10055,2.2,313,1108072,0.587360484,0.55119674,0.642759289,0.904577126
73,4,1,1881,179,137,3.4,4.6,239378,64562,1.6,1793,1108486,0.587579935,0.551314183,0.642809678,0.904660851
95,2,1,483,36,65,0.8,0.6,10690,12182,1.2,7716,1108970,0.587836491,0.55145142,0.642868582,0.90475864
88,3,0,1049,361,58,0.6,0.6,127562,12466,2.2,2165,1109021,0.587863525,0.551465876,0.642874789,0.904768938
84,4,1,572,74,30,2.6,2.6,273984,39153,2.4,11040,1109499,0.5881169,0.551601336,0.642932959,0.904865406
81,15,4,3019,283,157,2,2.2,600466,122565,1.4,209,1110507,0.588651215,0.55188677,0.643055612,0.905068516
84,3,0,3089,254,282,0.8,0.6,708020,413212,2.4,473,1111000,0.588912542,0.552026263,0.643115593,0.905167696
97,21,28,440,32,22,0.2,0.2,1015,10645,3,318,1111232,0.589035519,0.552091881,0.643143818,0.905214334
84,13,11,4427,270,183,1.6,3.2,172031,118129,1.3,154,1112439,0.589675319,0.552433011,0.643290645,0.905456598
91,35,50,2068,111,82,0.6,0.6,184724,37429,2.4,219,1112571,0.589745289,0.552470292,0.643306701,0.905483055
91,3,1,2836,208,129,1,1.4,113354,27649,1,652,1112656,0.589790345,0.552494296,0.64331704,0.905500088
95,2,1,313,33,28,0.6,0.6,172272,26701,1.4,6748,1112808,0.589870916,0.552537215,0.643335527,0.905530539
84,3,2,6211,313,209,0.4,1.8,52583,211119,2,412,1113288,0.590125352,0.552672703,0.643393907,0.905626636
96,0,0,280,53,21,0.4,0.2,350133,31449,2.6,3629,1113438,0.590204863,0.55271503,0.643412149,0.905656646
87,3,1,751,105,27,2.4,2,209142,62416,1.4,6152,1113802,0.59039781,0.552817714,0.643456417,0.905729431
78,23,4,3124,386,348,7.62,5.81,303675,195796,3,152,1113811,0.590402581,0.552820252,0.643457511,0.90573123
91,7,4,3722,160,135,0.8,0.8,21245,32319,1.5,160,1114036,0.590521848,0.552883705,0.643484873,0.905776191
92,11,9,2064,86,67,1.8,4.8,34707,24636,2.7,215,1114336,0.59068087,0.552968284,0.643521354,0.905836107
91,3,0,652,28,18,2.4,2.6,66019,31317,1,8885,1115422,0.591256531,0.553274242,0.6436534,0.906052683
87,3,1,1039,237,123,1.2,1.6,493948,152437,1.2,3462,1116195,0.591666278,0.553491806,0.643747376,0.906206535
0,14,5,2150,332,247,2.6,0.8,432353,269208,395,81,1117523,0.592370217,0.553865169,0.643908798,0.906470262
90,3,0,3051,157,115,0.6,0.8,306491,69347,4.2,3108,1118221,0.592740208,0.554061201,0.643993629,0.906608581
85,11,1,3310,334,243,3.61,2,86931,55259,1,241,1118432,0.592852054,0.554120432,0.644019271,0.906650353
0,7,4,2073,275,102,0.4,1.2,509927,61318,245,75,1119533,0.593435666,0.554429288,0.644153058,0.906868018
78,3,2,4156,448,230,1,2,275661,116795,1,158,1119909,0.593634974,0.554534684,0.644198742,0.906942236
91,45,61,1383,155,93,1,1.2,11530,33475,2.6,166,1120458,0.593925985,0.554688498,0.644265441,0.907050496
93,8,0,2505,197,113,2.4,2.4,282389,111390,4.4,190,1120477,0.593936056,0.554693819,0.644267749,0.90705424
